id,name,address,lat,lng,category,subCategory,district,popular,iconName,somaliCategory
wda_abaarso_tech_university_city_campus,Abaarso Tech University - City Campus,"Abaarso Tech Downtown Academic Center near Oriental Hotel, Downtown Waheen, Hargeisa",9.56168,44.06015,Schools & Universities,university,Downtown Waheen,True,GraduationCap,Jaamacadaha & Kuliyadaha
wda_downtown_central_bus_stop_loop,Downtown Central Bus Stop Loop,"Urban Core Intra-City Mini-Bus Terminal, Khayriya Junction, Downtown Waheen, Hargeisa",9.56772,44.07383,Transport & Terminals,transit_station,Downtown Waheen,True,Navigation,Istaannada & Gaadiidka
wda_hargeisa_municipality_headquarters,Hargeisa Municipality Headquarters,"Local Government Council Main Building, Downtown Waheen, Hargeisa",9.55354,44.0676,Government & Civic,government,Downtown Waheen,True,Landmark,Hay'adaha Dowladda
wda_oriental_hotel_historical_landmark,Oriental Hotel Historical Landmark,"Historical Center Landmark, Main Market Road, Downtown Hargeisa, Downtown Waheen, Hargeisa",9.56878,44.06226,Hotels & Hospitality,hotel,Downtown Waheen,True,Hotel,Huteellada & Maqaayadaha
wda_central_police_station_hq,Central Police Station HQ,"Main Police Command Center, Downtown Crossroad, Downtown Waheen, Hargeisa",9.56077,44.07724,Government & Civic,government,Downtown Waheen,True,Landmark,Hay'adaha Dowladda
wda_core_station_jigjiga_yar,Core Station Jigjiga Yar,"Main neighborhood connection hub near Dhaweeye building zone, Jigjiga Yar, Hargeisa",9.578,44.03706,Transport & Terminals,transit_station,Jigjiga Yar,True,Navigation,Istaannada & Gaadiidka
wda_deero_mall_complex,Deero Mall Complex,"Jigjiga Yar District Main Intersection and retail plaza, Jigjiga Yar, Hargeisa",9.57639,44.03321,Markets & Malls,mall,Jigjiga Yar,True,ShoppingBag,Suuqyada & Xarumaha Ganacsiga
wda_guryo_same_mall_center,Guryo-Same Mall Center,"Jigjiga Yar Corporate Commercial Strip and shopping zone, Jigjiga Yar, Hargeisa",9.58074,44.03524,Markets & Malls,mall,Jigjiga Yar,True,ShoppingBag,Suuqyada & Xarumaha Ganacsiga
wda_somtel_jigjiga_yar_office,Somtel Jigjiga Yar Office,"Main Jigjiga Yar Artery customer support center, Jigjiga Yar, Hargeisa",9.57553,44.03692,Corporate & Utilities,corporate,Jigjiga Yar,True,Building2,Shirkadaha & Isgaadhsiinta
wda_sompower_north_ridge_substation,Sompower North Ridge Substation,"Jigjiga Yar electrical grid operation sub-hub, Jigjiga Yar, Hargeisa",9.5786,44.03154,Corporate & Utilities,utility,Jigjiga Yar,True,Zap,Korontada & Biyaha
wda_masjid_al_rawda,Masjid Al-Rawda,"Jigjiga Yar Main Road prominent congregational mosque, Jigjiga Yar, Hargeisa",9.58006,44.03828,Mosques (Masaajidda),place_of_worship,Jigjiga Yar,True,Moon,Masaajidda
wda_jigjiga_yar_masjid,Jigjiga Yar Masjid,"Jigjiga Yar residential area central mosque building, Jigjiga Yar, Hargeisa",9.57395,44.0339,Mosques (Masaajidda),place_of_worship,Jigjiga Yar,True,Moon,Masaajidda
wda_gargaar_hospital_branch_2,Gargaar Hospital - Branch 2,"Gargaar Hospital Emergency Clinic near Deero Mall, Jigjiga Yar, Hargeisa",9.58204,44.03287,Hospitals & Healthcare,hospital,Jigjiga Yar,True,HeartPulse,Cusbitaallada & Rugaha Caafimaadka
wda_haldor_hospital,Haldor Hospital,"Haldor Specialist Medical Center, Jigjiga Yar Main Road, Jigjiga Yar, Hargeisa",9.57632,44.03968,Hospitals & Healthcare,hospital,Jigjiga Yar,True,HeartPulse,Cusbitaallada & Rugaha Caafimaadka
wda_frantz_fanon_university,Frantz Fanon University,"Frantz Fanon Medical University Campus, behind Deero Mall, Jigjiga Yar, Hargeisa",9.57599,44.03006,Schools & Universities,university,Jigjiga Yar,True,GraduationCap,Jaamacadaha & Kuliyadaha
wda_dahabshiil_bank_branch_2,Dahabshiil Bank - Branch 2,"Dahabshiil Commercial Branch near Guryo-Same Mall, Jigjiga Yar, Hargeisa",9.5831,44.03742,Banks & Financial,bank,Jigjiga Yar,True,Landmark,Bangiyada & Xawaaladaha
wda_salaam_somaliland_bank_branch_3,Salaam Somaliland Bank - Branch 3,"Salaam Bank Sub-Branch Office, retail storefront strip, Jigjiga Yar, Hargeisa",9.57228,44.03682,Banks & Financial,bank,Jigjiga Yar,True,Landmark,Bangiyada & Xawaaladaha
wda_waheen_supermarket_branch_2,Waheen Supermarket - Branch 2,"Waheen Express Grocery Branch, Maansoor Hotel Ridge road, Jigjiga Yar, Hargeisa",9.58118,44.02943,Markets & Malls,mall,Jigjiga Yar,True,ShoppingBag,Suuqyada & Xarumaha Ganacsiga
wda_jigjiga_yar_local_bus_loop_terminal,Jigjiga Yar Local Bus Loop Terminal,"Intra-city route turnaround point, adjacent to Deero Mall, Jigjiga Yar, Hargeisa",9.57944,44.04165,Transport & Terminals,transit_station,Jigjiga Yar,True,Navigation,Istaannada & Gaadiidka
wda_hass_petroleum_jigjiga_yar,Hass Petroleum Jigjiga Yar,"Jigjiga Yar District Main Fuel Hub and petrol stop, Jigjiga Yar, Hargeisa",9.57221,44.03088,Fuel Stations (Kaalmaha Shidaalka),fuel,Jigjiga Yar,True,Fuel,Kaalmaha Shidaalka
wda_national_fuel_station_2,National Fuel Station 2,"Jigjiga Yar Road 1 Patrol Station and pooling point, Jigjiga Yar, Hargeisa",9.58537,44.03403,Fuel Stations (Kaalmaha Shidaalka),fuel,Jigjiga Yar,True,Fuel,Kaalmaha Shidaalka
wda_admas_university_jigjiga_yar_annex,Admas University - Jigjiga Yar Annex,"Admas Postgraduate Center near Guryo-Same Mall, Jigjiga Yar, Hargeisa",9.57298,44.04104,Schools & Universities,university,Jigjiga Yar,True,GraduationCap,Jaamacadaha & Kuliyadaha
wda_blue_sky_academy,Blue Sky Academy,"Blue Sky Private Academy, western residential ridge zone, Jigjiga Yar, Hargeisa",9.57766,44.02674,Schools & Universities,school,Jigjiga Yar,True,GraduationCap,Dugsiyada & Waxbarashada
wda_jigjiga_yar_shopping_center,Jigjiga Yar Shopping Center,"Local community grocery and dry goods storefront cluster, Jigjiga Yar, Hargeisa",9.58401,44.04112,Markets & Malls,mall,Jigjiga Yar,True,ShoppingBag,Suuqyada & Xarumaha Ganacsiga
wda_maansoor_hotel_conference_grounds,Maansoor Hotel & Conference Grounds,"Grand premier hotel and conference resort on northern ridge, Jigjiga Yar, Hargeisa",9.56914,44.03458,Hotels & Hospitality,hotel,Jigjiga Yar,True,Hotel,Huteellada & Maqaayadaha
wda_somgas_hub_jigjiga_yar,SomGas Hub Jigjiga Yar,"Jigjiga Yar Main Line cooking gas and fuel station, Jigjiga Yar, Hargeisa",9.58509,44.029,Fuel Stations (Kaalmaha Shidaalka),fuel,Jigjiga Yar,True,Fuel,Kaalmaha Shidaalka
wda_xero_awr_core_station,Xero Awr Core Station,"Ahmed Dhagah Primary School Area primary collection hub, Ahmed Dhagax, Hargeisa",9.555,44.05247,Transport & Terminals,transit_station,Ahmed Dhagax,True,Navigation,Istaannada & Gaadiidka
wda_district_core_station_ahmed_dhagax,District Core Station Ahmed Dhagax,"Edna Adan Hospital Building tracking station axis, Ahmed Dhagax, Hargeisa",9.55311,44.04791,Transport & Terminals,transit_station,Ahmed Dhagax,True,Navigation,Istaannada & Gaadiidka
wda_isha_boorama_west_gate_node,Isha Boorama West Gate Node,"Gargaar Fuel Station Area outbound transport platform, Ahmed Dhagax, Hargeisa",9.55814,44.05028,Transport & Terminals,transit_station,Ahmed Dhagax,True,Navigation,Istaannada & Gaadiidka
wda_somtel_west_side_office,Somtel West Side Office,"Ahmed Dhagax District Service Branch operations, Ahmed Dhagax, Hargeisa",9.55221,44.05217,Corporate & Utilities,corporate,Ahmed Dhagax,True,Building2,Shirkadaha & Isgaadhsiinta
wda_sompower_west_sector_distribution,Sompower West Sector Distribution,"Xero Awr Regional Substation power network base, Ahmed Dhagax, Hargeisa",9.55567,44.04613,Corporate & Utilities,utility,Ahmed Dhagax,True,Zap,Korontada & Biyaha
wda_masjidka_xero_awr,Masjidka Xero Awr,"Ahmed Dhagax District, adjacent to the local primary school, Ahmed Dhagax, Hargeisa",9.55727,44.05362,Mosques (Masaajidda),place_of_worship,Ahmed Dhagax,True,Moon,Masaajidda
wda_masjid_sh_madar,Masjid Sh. Madar,"Historical mosque grounds located in southern Ahmed Dhagax, Ahmed Dhagax, Hargeisa",9.55056,44.04879,Mosques (Masaajidda),place_of_worship,Ahmed Dhagax,True,Moon,Masaajidda
wda_edna_adan_university_hospital,Edna Adan University Hospital,"Edna Adan Hospital Core Grounds, primary maternity center, Ahmed Dhagax, Hargeisa",9.5594,44.04768,Hospitals & Healthcare,hospital,Ahmed Dhagax,True,HeartPulse,Cusbitaallada & Rugaha Caafimaadka
wda_darul_shifa_hospital,Darul Shifa Hospital,"Darul Shifa Private Hospital near Xero Awr Road, Ahmed Dhagax, Hargeisa",9.55318,44.05506,Hospitals & Healthcare,hospital,Ahmed Dhagax,True,HeartPulse,Cusbitaallada & Rugaha Caafimaadka
wda_eelo_university_hargeisa,Eelo University Hargeisa,"Eelo Engineering and Technical Campus, Isha Boorama road, Ahmed Dhagax, Hargeisa",9.55283,44.04468,Schools & Universities,university,Ahmed Dhagax,True,GraduationCap,Jaamacadaha & Kuliyadaha
wda_ahmed_dhagah_primary_school,Ahmed Dhagah Primary School,"Ahmed Dhagah Core Public Primary School Facility, Ahmed Dhagax, Hargeisa",9.56047,44.05259,Schools & Universities,school,Ahmed Dhagax,True,GraduationCap,Dugsiyada & Waxbarashada
wda_boorama_regional_bus_terminal,Boorama Regional Bus Terminal,"Main Long-Distance Western Transport Terminal, Isha Boorama, Ahmed Dhagax, Hargeisa",9.5489,44.05194,Transport & Terminals,transit_station,Ahmed Dhagax,True,Navigation,Istaannada & Gaadiidka
wda_shiine_fuel_station,Shiine Fuel Station,"Xero Awr / Hero Awr Road Petrol Station landmark, Ahmed Dhagax, Hargeisa",9.55839,44.04407,Fuel Stations (Kaalmaha Shidaalka),fuel,Ahmed Dhagax,True,Fuel,Kaalmaha Shidaalka
wda_boqol_jire_fuel_station,Boqol Jire Fuel Station,"West Side Highway Patrol Station tracking node, Ahmed Dhagax, Hargeisa",9.55653,44.05705,Fuel Stations (Kaalmaha Shidaalka),fuel,Ahmed Dhagax,True,Fuel,Kaalmaha Shidaalka
wda_isgoyska_xero_awr_iyo_edna,Isgoyska Xero Awr iyo Edna,"Main corridor intermediate connector junction between school and hospital, Ahmed Dhagax, Hargeisa",9.54888,44.04564,Transport & Terminals,transit_station,Ahmed Dhagax,True,Navigation,Istaannada & Gaadiidka
wda_masjidka_reer_sheekh,Masjidka Reer Sheekh,"Corridor community mosque providing midway pooling overlap, Ahmed Dhagax, Hargeisa",9.56277,44.04898,Mosques (Masaajidda),place_of_worship,Ahmed Dhagax,True,Moon,Masaajidda
wda_suuqa_khdaarta_ee_ahmed_dhagax,Suuqa Khdaarta ee Ahmed Dhagax,"Local neighborhood market strip sitting along the connector corridor, Ahmed Dhagax, Hargeisa",9.54972,44.05636,Markets & Malls,mall,Ahmed Dhagax,True,ShoppingBag,Suuqyada & Xarumaha Ganacsiga
wda_dahabshiil_bank_ahmed_dhagax_branch,Dahabshiil Bank - Ahmed Dhagax Branch,"Retail banking and remittance branch on the western artery, Ahmed Dhagax, Hargeisa",9.55465,44.04133,Banks & Financial,bank,Ahmed Dhagax,True,Landmark,Bangiyada & Xawaaladaha
wda_daloodho_150_strip_core,Daloodho 150 Strip Core,"150 Highway road center tracking terminal, 150 Highway, Hargeisa",9.5815,44.05488,Transport & Terminals,transit_station,150 Highway,True,Navigation,Istaannada & Gaadiidka
wda_iman_center_150_node,Iman Center 150 Node,"150 fuel station Area central pooling node, 150 Highway, Hargeisa",9.57934,44.04961,Transport & Terminals,transit_station,150 Highway,True,Navigation,Istaannada & Gaadiidka
wda_somtel_150_highway_terminal,Somtel 150 Highway Terminal,"150 Road Commercial Strip customer service office, 150 Highway, Hargeisa",9.58504,44.05232,Corporate & Utilities,corporate,150 Highway,True,Building2,Shirkadaha & Isgaadhsiinta
wda_manhal_hospital_branch_1,Manhal Hospital - Branch 1,"Manhal Main Specialist Center near 150 Highway, 150 Highway, Hargeisa",9.57839,44.05442,Hospitals & Healthcare,hospital,150 Highway,True,HeartPulse,Cusbitaallada & Rugaha Caafimaadka
wda_somali_german_hospital,Somali German Hospital,"150 Highway medical emergency specialized wing, 150 Highway, Hargeisa",9.58225,44.04773,Hospitals & Healthcare,hospital,150 Highway,True,HeartPulse,Cusbitaallada & Rugaha Caafimaadka
wda_hass_petroleum_150_highway,Hass Petroleum 150 Highway,"Major 24/7 service station and convenience mart on 150 corridor, 150 Highway, Hargeisa",9.58399,44.05597,Fuel Stations (Kaalmaha Shidaalka),fuel,150 Highway,True,Fuel,Kaalmaha Shidaalka
wda_national_fuel_station_1,National Fuel Station 1,"150 Highway East Bound petrol and diesel hub, 150 Highway, Hargeisa",9.57667,44.05068,Fuel Stations (Kaalmaha Shidaalka),fuel,150 Highway,True,Fuel,Kaalmaha Shidaalka
wda_red_sea_petroleum_150,Red Sea Petroleum 150,"150 Highway central line petrol station, 150 Highway, Hargeisa",9.58626,44.04949,Fuel Stations (Kaalmaha Shidaalka),fuel,150 Highway,True,Fuel,Kaalmaha Shidaalka
wda_mubarak_fuel_station,Mubarak Fuel Station,"150 Highway eastern exit fueling and maintenance station, 150 Highway, Hargeisa",9.57954,44.05745,Fuel Stations (Kaalmaha Shidaalka),fuel,150 Highway,True,Fuel,Kaalmaha Shidaalka
wda_ilays_primary_secondary_school,Ilays Primary & Secondary School,"Modern private schooling facility on the 150 Highway corridor, 150 Highway, Hargeisa",9.57918,44.0463,Schools & Universities,school,150 Highway,True,GraduationCap,Dugsiyada & Waxbarashada
wda_150_highway_central_interchange,150 Highway Central Interchange,"Key junction connecting 150 Highway with northern arteries, 150 Highway, Hargeisa",9.58733,44.05477,Transport & Terminals,transit_station,150 Highway,True,Navigation,Istaannada & Gaadiidka
wda_masjidka_al_huda_150,Masjidka Al-Huda 150,"Large highway congregational mosque with spacious parking, 150 Highway, Hargeisa",9.57501,44.05406,Mosques (Masaajidda),place_of_worship,150 Highway,True,Moon,Masaajidda
wda_hargeisa_group_hospital,Hargeisa Group Hospital,"Main Public Referral Hospital, Sha'ab Area near Ministry of Health, Shaab / Institutional District, Hargeisa",9.559,44.05992,Hospitals & Healthcare,hospital,Shaab / Institutional District,True,HeartPulse,Cusbitaallada & Rugaha Caafimaadka
wda_admas_university_main_campus,Admas University Main Campus,"Admas Main Campus, Sha'ab Area near Hargeisa Stadium, Shaab / Institutional District, Hargeisa",9.55748,44.05632,Schools & Universities,university,Shaab / Institutional District,True,GraduationCap,Jaamacadaha & Kuliyadaha
wda_the_presidential_palace_madaxtooyad,The Presidential Palace (Madaxtooyada),"State House Security Zone, Presidential Road, Shaab / Institutional District, Hargeisa",9.5616,44.05823,Government & Civic,government,Shaab / Institutional District,True,Landmark,Hay'adaha Dowladda
wda_ministry_of_finance_headquarters,Ministry of Finance Headquarters,"Government Compound, Sha'ab West Entrance, Shaab / Institutional District, Hargeisa",9.55664,44.05983,Government & Civic,government,Shaab / Institutional District,True,Landmark,Hay'adaha Dowladda
wda_somaliland_parliament_house,Somaliland Parliament House,"Legislative Assembly Grounds, Sha'ab Upper District, Shaab / Institutional District, Hargeisa",9.55958,44.05467,Government & Civic,government,Shaab / Institutional District,True,Landmark,Hay'adaha Dowladda
wda_ministry_of_health_somaliland,Ministry of Health Somaliland,"Central Health Ministry Compound opposite Group Hospital, Shaab / Institutional District, Hargeisa",9.56098,44.06116,Government & Civic,government,Shaab / Institutional District,True,Landmark,Hay'adaha Dowladda
wda_ministry_of_education_science,Ministry of Education & Science,"National Education Headquarters, Shaab Civic Avenue, Shaab / Institutional District, Hargeisa",9.55508,44.05693,Government & Civic,government,Shaab / Institutional District,True,Landmark,Hay'adaha Dowladda
wda_hargeisa_national_stadium_complex,Hargeisa National Stadium Complex,"National Sports Stadium and Youth Pavilion, Sha'ab Border, Shaab / Institutional District, Hargeisa",9.56292,44.05594,Government & Civic,government,Shaab / Institutional District,True,Landmark,Hay'adaha Dowladda
wda_sompower_sha_ab_regional_station,Sompower Sha'ab Regional Station,"Sha'ab Institutional Area primary electrical control center, Shaab / Institutional District, Hargeisa",9.55736,44.06255,Corporate & Utilities,utility,Shaab / Institutional District,True,Zap,Korontada & Biyaha
wda_somtel_madaxtooyada_branch,Somtel Madaxtooyada Branch,"Presidential Road customer service center, Shaab / Institutional District, Hargeisa",9.55704,44.05319,Corporate & Utilities,corporate,Shaab / Institutional District,True,Building2,Shirkadaha & Isgaadhsiinta
wda_imperial_hotel_sha_ab,Imperial Hotel Sha'ab,"Diplomatic hotel and suites near Sha'ab ministries, Shaab / Institutional District, Hargeisa",9.56398,44.06036,Hotels & Hospitality,hotel,Shaab / Institutional District,True,Hotel,Huteellada & Maqaayadaha
wda_masjidka_sha_abka,Masjidka Sha'abka,"Prominent civil servants and institutional community mosque, Shaab / Institutional District, Hargeisa",9.55341,44.05978,Mosques (Masaajidda),place_of_worship,Shaab / Institutional District,True,Moon,Masaajidda
wda_maxamed_mooge_core_station,Maxamed Mooge Core Station,"Maxamed Mooge District main minibus terminus and taxi stand, Maxamed Mooge, Hargeisa",9.519,44.10501,Transport & Terminals,transit_station,Maxamed Mooge,True,Navigation,Istaannada & Gaadiidka
wda_masjidka_weyn_ee_maxamed_mooge,Masjidka Weyn ee Maxamed Mooge,"Grand congregational mosque in center of Maxamed Mooge, Maxamed Mooge, Hargeisa",9.51675,44.09951,Mosques (Masaajidda),place_of_worship,Maxamed Mooge,True,Moon,Masaajidda
wda_cusbitaalka_maxamed_mooge,Cusbitaalka Maxamed Mooge,"Community general hospital and maternity clinic, Maxamed Mooge, Hargeisa",9.52268,44.10233,Hospitals & Healthcare,hospital,Maxamed Mooge,True,HeartPulse,Cusbitaallada & Rugaha Caafimaadka
wda_dugsiga_sare_ee_maxamed_mooge,Dugsiga Sare ee Maxamed Mooge,"Main public secondary school serving southern Hargeisa, Maxamed Mooge, Hargeisa",9.51578,44.1045,Schools & Universities,school,Maxamed Mooge,True,GraduationCap,Dugsiyada & Waxbarashada
wda_suuqa_maxamed_mooge,Suuqa Maxamed Mooge,"Bustling district bazaar and retail grocery market, Maxamed Mooge, Hargeisa",9.51977,44.09759,Markets & Malls,mall,Maxamed Mooge,True,ShoppingBag,Suuqyada & Xarumaha Ganacsiga
wda_kaalinta_shidaalka_hass_maxamed_moo,Kaalinta Shidaalka Hass Maxamed Mooge,"Hass Petroleum southern highway service station, Maxamed Mooge, Hargeisa",9.52156,44.10608,Fuel Stations (Kaalmaha Shidaalka),fuel,Maxamed Mooge,True,Fuel,Kaalmaha Shidaalka
wda_dahabshiil_maxamed_mooge_branch,Dahabshiil Maxamed Mooge Branch,"Banking, remittance and ZAAD cash-in center, Maxamed Mooge, Hargeisa",9.51404,44.10065,Banks & Financial,bank,Maxamed Mooge,True,Landmark,Bangiyada & Xawaaladaha
wda_somtel_maxamed_mooge_service_center,Somtel Maxamed Mooge Service Center,"Customer care and e-Dahab support office, Maxamed Mooge, Hargeisa",9.52388,44.09943,Corporate & Utilities,corporate,Maxamed Mooge,True,Building2,Shirkadaha & Isgaadhsiinta
wda_isgoyska_maxamed_mooge_iyo_airport,Isgoyska Maxamed Mooge iyo Airport,"Strategic crossroad linking to Egal Airport highway, Maxamed Mooge, Hargeisa",9.51699,44.10758,Transport & Terminals,transit_station,Maxamed Mooge,True,Navigation,Istaannada & Gaadiidka
wda_new_hargeisa_central_station,New Hargeisa Central Station,"Eastern expressway entrance terminus, New Hargeisa, Hargeisa",9.554,44.0976,Transport & Terminals,transit_station,New Hargeisa,True,Navigation,Istaannada & Gaadiidka
wda_masjidka_new_hargeisa,Masjidka New Hargeisa,"Community Friday mosque in central New Hargeisa, New Hargeisa, Hargeisa",9.55202,44.09281,Mosques (Masaajidda),place_of_worship,New Hargeisa,True,Moon,Masaajidda
wda_gargaar_hospital_main_branch,Gargaar Hospital Main Branch,"Multi-specialty surgical and clinical hospital, New Hargeisa, Hargeisa",9.55728,44.09529,Hospitals & Healthcare,hospital,New Hargeisa,True,HeartPulse,Cusbitaallada & Rugaha Caafimaadka
wda_gollis_university_main_campus,Gollis University Main Campus,"Premier university campus with engineering and ICT faculties, New Hargeisa, Hargeisa",9.5511,44.09725,Schools & Universities,university,New Hargeisa,True,GraduationCap,Jaamacadaha & Kuliyadaha
wda_new_hargeisa_shopping_plaza,New Hargeisa Shopping Plaza,"Commercial center with grocery stores and boutiques, New Hargeisa, Hargeisa",9.5547,44.091,Markets & Malls,mall,New Hargeisa,True,ShoppingBag,Suuqyada & Xarumaha Ganacsiga
wda_total_petroleum_new_hargeisa,Total Petroleum New Hargeisa,"Modern petrol station with car wash on eastern corridor, New Hargeisa, Hargeisa",9.55635,44.09874,Fuel Stations (Kaalmaha Shidaalka),fuel,New Hargeisa,True,Fuel,Kaalmaha Shidaalka
wda_premier_bank_new_hargeisa_branch,Premier Bank New Hargeisa Branch,"Full service retail and business banking center, New Hargeisa, Hargeisa",9.54943,44.09375,Banks & Financial,bank,New Hargeisa,True,Landmark,Bangiyada & Xawaaladaha
wda_sompower_east_district_office,Sompower East District Office,"East Hargeisa electrical network station, New Hargeisa, Hargeisa",9.55852,44.09262,Corporate & Utilities,utility,New Hargeisa,True,Zap,Korontada & Biyaha
wda_daami_market_square_station,Daami Market Square Station,"Central transport loop in Daami district, Daami, Hargeisa",9.575,44.08419,Transport & Terminals,transit_station,Daami,True,Navigation,Istaannada & Gaadiidka
wda_masjidka_daami,Masjidka Daami,"Historical neighborhood mosque and Quranic academy, Daami, Hargeisa",9.5733,44.08011,Mosques (Masaajidda),place_of_worship,Daami,True,Moon,Masaajidda
wda_rugta_caafimaadka_ee_daami,Rugta Caafimaadka ee Daami,"Primary maternal and child health clinic, Daami, Hargeisa",9.57787,44.08226,Hospitals & Healthcare,hospital,Daami,True,HeartPulse,Cusbitaallada & Rugaha Caafimaadka
wda_dugsiga_hoose_ee_daami,Dugsiga Hoose ee Daami,"Community primary and intermediate public school, Daami, Hargeisa",9.57243,44.084,Schools & Universities,school,Daami,True,GraduationCap,Dugsiyada & Waxbarashada
wda_suuqa_daami_ee_khdaarta,Suuqa Daami ee Khdaarta,"Fresh produce and commodity morning market, Daami, Hargeisa",9.57563,44.0784,Markets & Malls,mall,Daami,True,ShoppingBag,Suuqyada & Xarumaha Ganacsiga
wda_kaalinta_shidaalka_al_xaramayn,Kaalinta Shidaalka Al-Xaramayn,"Reliable fuel and auto services along northern branch, Daami, Hargeisa",9.57713,44.08539,Fuel Stations (Kaalmaha Shidaalka),fuel,Daami,True,Fuel,Kaalmaha Shidaalka
wda_faraska_cad_station_shiraaqle,Faraska Cad Station Shiraaqle,"Famous landmark statue and major eastern junction, Shiraaqle, Hargeisa",9.563,44.10447,Transport & Terminals,transit_station,Shiraaqle,True,Navigation,Istaannada & Gaadiidka
wda_masjidka_shiraaqle,Masjidka Shiraaqle,"Central mosque of Shiraaqle community, Shiraaqle, Hargeisa",9.56111,44.09991,Mosques (Masaajidda),place_of_worship,Shiraaqle,True,Moon,Masaajidda
wda_cusbitaalka_shiraaqle,Cusbitaalka Shiraaqle,"Specialized clinic and diagnostic laboratory, Shiraaqle, Hargeisa",9.56614,44.10228,Hospitals & Healthcare,hospital,Shiraaqle,True,HeartPulse,Cusbitaallada & Rugaha Caafimaadka
